Laborious|something requiring much physical or mental effort|When you just start exercising it may seem laborious, but over time it gets easier.|
Maim|to injure to the point that function is lost in a body part or region|The evil dictator seemed to take delight in using a sword to maim and murder the people who opposed him.|
Main|the key part or most important part of something|My main job at work is to answer phone calls from customers with questions.|
Mainland|the main landmass of a country or continent|After a wonderful seven day vacation in Hawaii, it was time to go back to the mainland of California.|
Mainstay|a thing that something or someone depends on|Coupons are a mainstay for the couple since they depend on them to reduce their grocery bill every week.|
Mainstream|having the most influential appeal to something accepted by most|In short, modern mainstream media pertaining to politics is in a state of total confusion.|
Mainstream|considered ordinary or usual by most people|The song is popular with pop fans who listen to mainstream music.|
Maintain|to keep something in its current state|In order to maintain my grades at school, I must study hard and complete all of my homework to ensure they stay A’s.|
Maintain|to keep something in its current condition or state|It is difficult to maintain my weight when my diet consists of donuts and Chinese takeout.|
Maintenance|work performed on a system in order to keep it operating as intended|Because the sewer system is such an important part of the city’s infrastructure, we have to conduct maintenance on it every few weeks to make sure everything is running properly.|
Majestic|displaying impressive grandeur|The majestic movie theater was so glamorous it was converted into a film museum.|
Major|main and key|While the teacher was harshly disciplining the class, she was able to get her major point across to the students about keeping their hands and feet to themselves.|
Majority|the greater percentage of the whole|Winners of talent shows like American Idol are decided by a majority vote.|
Make-believe|indulge pretense or invent a story or excuse|Jacob likes to play make-believe he’s Superman by jumping off a chair onto his bed pretending he can fly.|
Make-up|apply various types of cosmetics usually to face to enhance ones look|Adam hates it when it takes me thirty minutes to curl my hair and apply all of my make-up before we can leave the house.|
Make|to bring into being; create, build, produce, etc.|“Would you like me to make you some breakfast?”|
Makebate|a person who causes arguments or starts up trouble|Because she likes to spread rumors, the office makebate is constantly stirring up strife at work.|
Makeshift|an impermanent substitute|During the storm, we used the large tree branches as a makeshift shelter.|
Maladjusted|not able to cope with the demands of one’s life|After being raised by apes, the young lord was maladjusted to the duties expected of him by society.|
Maladroit|awkward and somewhat incompetent|The nervous boy was maladroit and stuttered over his words as he invited the girl to the dance.|
Malady|an illness|Because she is a hypochondriac, my sister has one malady after another.|
Malaise|a feeling of general bodily discomfort, fatigue or unpleasantness|Jason knew he was getting ill because of the malaise he had been experiencing for a few days.|
Malapropism|a comical misuse of a word that resembles another term in sound|In class, everyone laughed at Bill’s malapropism when he complained about electrical votes instead of electoral votes.|
Malapropos|out of place; inappropriate|Her funny remarks seemed malapropos at her sister’s funeral.|
Malaria|a disease spread by mosquito|After my trip, I experienced symptoms that prompted me to get tested for malaria.|
Malarkey|something that is considered to be absurd or junk|Everyone knew that her opinion was complete malarkey since she could not support it with any evidence whatsoever.|
Malcontent|an individual who is unruly and hardly ever satisfied |The woman was such a malcontent that she complained about every dish served to her in the five-star restaurant.|
Malediction|an evil speech or curse upon someone or something|The witch’s malediction made the young princess fall into a deep sleep.|
Malefactor|one who does evil|For several years, the detective pursued the malefactor who had brutally killed the two children.|
Maleficent|harmful or evil in intent or effect|The preacher said that Satan is a maleficent force that urges men to sin.|
Malevolent|wishing harm to others; malicious|How malevolent of you to wish that I was dead!|
Malfeasance|the performance of an illegal deed, generally by someone in the public trust|When the election results are tallied, surely the people will have voted out the mayor who is currently being investigated for malfeasance.|
Malice|desire to cause pain, injury, or distress to another|John’s malice towards his ex-wife led him to vandalize her car.|
Malign|to say unpleasant things about someone or something, usually unfairly|By spreading the cruel rumor, my sister hoped to malign her ex-boyfriend.|
Malignant|causing an extremely serious, possibly even fatal, issue|Crystal cried when she learned the tumor was malignant.|
Malignity|an occurrence of hateful behavior or temperament|Spitting on someone is one of the worst types of malignity a person can inflict upon another person.|
Malinger|to pretend to be sick or injured in order to avoid doing work|When it is time to do work around the house, Henry will offer malinger and go to his room to rest.|
Mall|a shopping center with lots of individual stores house in one building|A new department store is coming to the mall and will be housed between the shoe store and gift shop.|
Malleable|capable of being easily changed or influenced|When my uncle drinks a great deal, he is always quite malleable to suggestions.|
Mallet|a hammer with a typically wooden head that is used for hitting a chisel|With a mallet and a chisel, a skilled sculptor can turn a block of stone into a fantastic statue worthy of being in a museum.|
Malnourished|suffering from a deficiency of proper nourishment |Because the homeless man was malnourished, I gave him money for a decent meal.|
Malnutrition|a lack of adequate nourishment (from not eating enough food or not eating enough healthy food)|Her eyes were sunken in from malnutrition.|
Malpractice|a practice or act that is harmful or negligent|The doctor’s malpractice insurance will handle the court costs associated with the lawsuit filed by his patient.|
Maltreat|to treat someone or something cruelly or violently|The child was in a lot of trouble because of the way he would maltreat our dog, kicking him whenever he was angry.|
Mammoth|very large|We watched as the mammoth whale started doing backflips near our boat, causing waves to splash up against us.|
Manacle|an item that functions as a control or restraint|The manacle will keep the dog from leaving the front yard.|
Manage|to be in charge of something|A new person was hired to manage the newsstand and make sure sales increase.|
Management|the control and organization of something|Classroom management is an important part of teaching students since real learning can’t take place in an unruly classroom.|
Mandamus|a legal order from a higher court to a lower court to perform a required task|In order to fix the problems of justice, a mandamus was required by the Supreme Court to have the State Court execute a state of emergency.|
Mandate|permission to do something |The marshal was given a mandate to use all resources to bring in the escaped prisoner.|
Mandatory|something that is absolutely required and must be done|There is a mandatory meeting that we all must attend as faculty members, so we can have no excuse for being absent.|
Mane|long and thick hair associated with the head of a mammal|After not cutting his mane for forty years, the man had hair that fell to his knees.|
Mangle|to make unrecognizable through violent acts of cutting, slashing, or crushing|The lion's razor-sharp claws mangle the terrified gazelle as he feeds.|
Mania|excessive desire, excitement, or enthusiasm|Greg’s sports mania is so ridiculous that he can watch the same game hundreds of times without getting bored.|
Manic|wildly erratic or frenzied in behavior|During her manic state, the woman with bipolar disorder spent lots of money and acted unpredictably.|
Manicure|treatment for the hands that involves softening the skin and making the nails look better|The full manicure treatment is more expensive because it includes nail cutting and painting.|
Manifest|easy to understand or recognize; obvious |The love on Amy’s face was manifest and obvious to everyone.|
Manikin|a model of the human body, used for teaching medical or art students|Because the science manikin is so realistic, it has pupils that react to light and eyelids that blink.|
Mankind|the human race|Pollution prevention is good for mankind because the human race can’t continue without fresh air.|
Manner|the way in which something is done|The toddler acted in a horrible manner, screaming and throwing a fit in the middle of dinner.|
Mannerism|a certain way someone speaks, acts or behaves|Even though I couldn’t see the girl standing away from me, I knew it was Samantha due to her mannerism of talking.|
Manor|the big house on a large estate|The lord’s manor is a grand house that sits on a thirty-acre estate.|
Mansion|a large, impressive house, most often owned by someone wealthy|Because he has millions of dollars at his disposal, the man decided to buy a massive mansion to showcase all of his wealth.|
Mansplain|to explain something that you don’t understand completely (from man to woman) in a way that is considered patronizing|During meetings, my male coworkers are more likely to dominate the conversation and condescendingly mansplain things to the women.|
Mantic|a person who can tell or see the future|After looking into his crystal ball, the mantic was able to tell the woman who she was going to marry.|
Manticore|a mythical creature that was said to have a scorpion’s sting but the body of a lion and head of a man|According to the myth, the manticore’s sting is as strong as a scorpion while his body is that of a lion.|
Mantle|the obligations or authority associated with an individual’s duties, title, or personal beliefs|Overwhelmed by the stress that came with the mantle of his office, the prime minister resigned from his position.|
Manual|a booklet that instructs someone on how to do something or the usage of something|Tom was able to troubleshoot why our newly purchased television wouldn’t work by reading the manual.|
Manual|a book or booklet that gives instructions or explains how something works|My wife’s new vehicle came with a manual that explained all of its features.|
Manufacture|to create items on a massive scale|The company is relocating production to Asia because it is cheaper to manufacture products overseas.|
Manumission|release from slavery, freedom|When manumission happened on the plantation, all the slaves were freed.|
Manuscript|text that has been typed or handwritten as part of the preparation for publication|After I read the first ten pages of Cameron’s manuscript, I couldn’t wait to finish the rest of the screenplay.|
Mar|to ruin or spoil|You will mar the cake if you keep putting your fingers in the icing.|
Marauder|an individual who is constantly looking for something to steal|The marauder uses his quick hands to rob people on public buses.|
Marauding|moving from one location to another in order to commit crimes against society|The marauding thieves never stay more than a few nights in a city.|
Marble|a type of lined rock that is very hard and can be polished to become smooth and polished|Polished marble was used for the kitchen counters, but a different type of stone was used for the flooring.|
Margin|the edge or border of something|Students should not write outside the margin but instead stay inside the lines.|
Marginal|minor; not of consequence|I was not upset by the marginal price increase.|
Marginate|having a distinct border, or ‘margin'|Every country is marginate in nature, having a distinct border that determines how much territory that country controls.|
Marine|found in or produced by the ocean|The marine animals are dying because of trash and pollution being dumped into the ocean.|
Marine|a member of a military force trained for service at sea|Cathy was so excited to hear that her nephew Harry is officially a Marine after he recently graduated from boot camp.|
Maritime|related to the sea or sailing|After recently purchasing a boat, they decided to embark on a maritime adventure.|
Marketplace|an place where people sell things to the public|Vendors are selling rugs, pottery, and other wares in the open marketplace.|
Maroon|a dark reddish-tan color|Since the young man knew nothing about fashion, he wore his maroon shirt with a lighter red pair of pants.|
Marquee|a structure placed over the entrance to a hotel or theatre, stating either the name of the establishment or the play or movie and the artists appearing at that venue|The old theater in town had a marquee sign that still read, “Now Showing: The Wizard of Oz”.|
Marred|spoiled or damaged|The rowdy college boys marred the hotel room.|
Marriage|the legally recognized joining of spouses|After twenty years of marriage, the once happy couple is now divorcing.|
Marrow|the center soft part of the bone that produces blood cells|When the bone broke, it exposed the marrow to the germs which might have led to an infection.|
Marsh|an area of low-lying land that is floods often and sometimes remains waterlogged|The marsh and other wetlands in the area are protected by land conservation laws.|
Martinet|an individual who emphasizes discipline|As a colonel in the army, John is a martinet who believes discipline is the only path to success.|
Martyr|one who surrenders something of tremendous value for a cause|The gay man became a martyr when he lost his job after refusing to hide his sexual preference.|
Marvel|something or someone that triggers amazement|Many scientists view the three-year-old boy with the extremely high IQ as a marvel.|
Marvelous|something showing amazing talent or skill and that often inspires awe|The actress was so marvelous at her role that she not only won an Academy Award but brought everyone in the audience to tears with her performance.|
Marxism|a social and political theory that is the opposite of capitalism and argues that production and all of the means of public ownership should lie in the hands of the workers|The socialist theory of Marxism says that people are grouped into categories based on their relationship to how things are made.|
Masculine|manly or seen as male in nature|It is considered masculine to be big and strong, though that notion is probably from an older era where men were usually warriors of some sort.|
Masochist|an individual who gets pleasure from suffering| Sarah does not like enduring or observing pain so she is definitely not a masochist.|
Masquerade|to assume a false identity |The con man decided to masquerade as a missionary to bilk the church out of its savings.|
Mass|a heap or pile|A mass of garbage continued to pile up outside of the smelly dumpster.|
Massacre|killing of many people|The French massacre was particular bloody, with over one hundred lives lost.|
Massive|large and heavy|As a college freshman, I was surprised to be given a massive textbook which I could not carry alone.|
Mast|a tall post attached to a ship that holds sails|The mast had a sail attached and was used to guide the boat.|
Mastermind|a brilliant thinker who uses one's intellect to put together plans or projects|Though Joe was the mastermind behind the bridge’s design, his boss took all the credit for the architect’s magnificent blueprints.|
Masterpiece|an outstanding work or skill|Staring at the blank canvas, the artist pondered how he could turn this slate into a world-renowned masterpiece.|
Mastery|complete control or superiority over something else|Man’s mastery over nature in our world allows us to achieve many things, but even so we can never outmatch nature’s raw power.|
Masticate|to chomp with teeth; chew|My mother told me to never talk while I masticate my food.|
Match|a contest in which people or teams compete against one another|During the close match, the boxing champ made a mistake and was knocked out by his opponent.|
Mate|each of a pair of items|Erica became upset when she couldn’t find the other mate to her favorite pair of socks.|
Material|matter or substance of which something can be made|Because the dress is made from an expensive material, the shop owner will sell it for a higher price.|
Materialism|constant concern over material possessions and wealth|Obviously, the shopper’s belief in materialism led her to buy far more items than she could afford.|
Materialize|to become real or visible|If you want to make your dreams materialize, you must take steps to make them real.|
Maternal|related to or associated with a mother |The cat’s maternal instincts led her to adopt the lost puppy.|
Matriarch|a woman who leads a tribe or family|My mother is the family matriarch who has the final say in household affairs.|
Matriarchy|a family unit, group, or administration managed by a single woman or a team of women|The tribe of female warriors has always been ruled by a matriarchy.|
Matriculate|to become a student at a school, especially a college or university|After high school, I will matriculate at a local community college.|
Matrilineal|associated with the female line of the family|Since my mother and two of my sisters have died from cancer, I can only assume the disease is matrilineal.|
Matrimony|the state of being married|The man and woman are in a state of holy matrimony, being not just a man and woman but a husband and wife.|
Matrix|an environment in which the development or formation of something occurs | In the film, an alternate world had developed inside of the matrix.|
Matron|an older, serious-minded married woman who usually has a high social position|The matron was highly regarded for her philanthropic endeavors in her community.|
Matronly|used to describe a middle-aged, married woman who is plump and dresses in a plain way|The more matronly customers selected long skirts and flats rather than mini-skirts and tall boots.|
Matte|describing a color that is dull and has no shine|This brown color is extremely matte, dull and lifeless but supposedly a good color for this piece of furniture, according to my mother.|
Matter|be of importance of have significance|Clara insisted that the messiness of her room shouldn’t matter, but her mother thinks keeping a clean house is important.|
Matter|a substance or object that occupies physical space|The matter changed from a solid to a liquid form when it was placed in the sun to melt.|
Mature|to gain experience or wisdom with age; full grown|Emily said to her children, “Instead of calling each other names, can we discuss this in a mature manner?”|
Maturity|of full development|When the cherry tree reaches maturity, it will produce fruit.|
Maudlin|showing or expressing too much emotion especially in a foolish or annoying way|The girl’s performance was so maudlin that people started to boo her off the stage.|
Maul|to wound someone by scratching or tearing them, often used in reference to animals|I would never go near a bear even in captivity, for fear that it would maul me with its huge teeth and claws.|
Mauled|attacked and mangled|Because it seemed friendly, neighbors were surprise to hear the dog had mauled a pedestrian.|
Mausoleum|a large elegant building that holds tombs|The king wants to be entombed inside of a mausoleum.|
Maxim|a phrase that is often used as a guiding rule|My grandmother had a wise maxim to help me get through all of my teenage crises.|
Maximize|to increase something in size, amount, or importance as much as possible|If you increase your advertising in certain areas, you may also be able to maximize profits for your products.|
Maximum|the highest amount possible|After the opening of Pandora at Disney World, the park was forced to closed their doors because they had reached the maximum number of guests allowed in the park at one time.|
Maximum|the total amount or limit|We are looking for a house with a maximum of four bedrooms because any more than that would be too many.|
Mayhap|perhaps or possibly|Mayhap we should leave this cave before we encounter whichever creature calls it home?|
Mayhem|chaos or disorder|During the busy holiday season, most of the stores seem to be in a constant state of mayhem.|
Meager|very small or too small in amount|My daughter is quick to complain about what she considers to be a meager allowance.|
Mean|characterized as cruel or antagonistic, but often in a petty manner|A mean bully might try and take your lunch money from time to time, but such things are hardly unspeakably cruel.|
Meander|to move slowly without any real purpose|The confused old man will sometimes come into the store and meander for hours without making a purchase.|
Meaningful|having a serious, important, or useful quality or purpose |Whenever she tried to have a meaningful conversation with her boyfriend, he always changed the subject to a new cat video or trending meme.|
Meant|the past tense form of mean that is used to express what someone intended or had in mind|I meant to send off the package, but left it sitting on the kitchen counter.|
Meanwhile|at the same time but elsewhere|“Victoria, dinner will be ready in ten minutes, meanwhile please set the table.”|
Measly|an extremely, almost laughably small amount|Briana hoped her mother would pay her well for babysitting her brothers but she only got a measly $5.|
Measure|to gage or calculate an amount|Using a cup to measure ¼ cup, the chef sifted just the right amount into the bowl.|
Measurement|the size or length of something|The seamstress guessed the measurement of the man’s shoulders and then confirmed with her tape.|
Mechanical|linked to machinery or tools|A mechanical engineer was needed to fix the broken conveyer belt.|
Mechanism|a piece of a machine that plays a specific role in its operation|Visitors were stuck on the Ferris wheel for hours when the mechanism that controlled the rotation stopped working.|
Medallion|a piece of jewelry crafted in the shape of a medal, often worn around the neck as a pendant|The officer received a spectacular medallion from his commander in chief, a medal to wear around his neck for his service in the war.|
Meddle|to interfere in something that is not your concern|Because my mother-in-law is trying to meddle in my marriage, I want her out of my house immediately.|
Meddlesome|tending to interfere in other people’s affairs|Meddlesome men spent their morning drinking coffee and discussing their neighbors business.|
Medial|situated in the middle of something|With three people standing in a line, the person in the middle of the line has a medial position.|
Median|the middle number of a set of ordered numbers|The median household income for this major city is $56,000 with half of the lower incomes being below that amount and the higher incomes being above that amount.|
Mediate|to help solve conflicts|My husband is the one who usually has to mediate the disagreements between our sons.|
Mediator|one that serves as a go-between during a dispute|A mediator was needed to help the divorcing couple come to an agreement.|
Medicare|a free health insurance program in the United States for older or disabled people|Since my elderly mother has poor health, Medicare is her supplier of health care should she need medical attention.|
Medicinal|used to cure pain and diseases|Medicinal herbs were added to the tea to cure the woman’s stomachache.|
Medicine|a substance used to treat disease|Without medicine to ease his headache, the man had no choice but to go to bed early.|
Medieval|relating to the Middle Ages|Medieval feasts were thrown for royalty and nobles during the Middle Ages.|
Mediocre|average; not great or extraordinary|Because Janice does not apply herself in school, she is a mediocre student.|
Mediocre|of ordinary or average quality|The mediocre meal wasn’t the worst I’ve had, but it wasn’t the best either.|
Mediterranean|representative of the Mediterranean Sea or culture of the people surrounding it|Her olive skin and dark hair was typical of a Mediterranean woman.|
Medium|in between small and large|When trying on a swimsuit, Carrie chose a medium since the small was too tight but the large was sagging.|
Medley|a mixture of things|A medley of horrific shouts rose up out of the crowd when they realized the concert was canceled.|
Meed|a much deserved reward or honor|Even though she had six children, the loving mother was able to give each a meed of her time and attention.|
Meek|restrained; unwilling to speak up|Although the meek girl knew the answer to the teacher’s question, she was too nervous to raise her hand.|
Meekly|doing something in a humble and modest way|The shy girl hung her head as she meekly followed behind her older sisters.|
Meeting|a gathering of people coming together|Once managements gathers more information we will notify everyone for another meeting soon.|
Megabyte|a unit equal to one million bytes that is used to measure how much information a computer can store|The disk contained one megabyte of storage space.|
Megalith|a large stone that was used as a building block in prehistoric structures|A gigantic megalith was used to create a stone graveyard in 3000 B.C. Germany.|
Megalomania|a mental disorder that leads individuals to think they are more influential and powerful than everyone else|Helen’s megalomania allowed her to believe she could drive under the influence without putting her life in jeopardy.|
Megalopolis| a region comprised of several big cities|As the cities in the area have grown, the population of the megalopolis has greatly expanded.|
Megaton|an explosive force measurement that is used for nuclear weapons (equals one million tons of TNT)|The megaton missile exploded with great force as it reached its target.|
Megawatt|a unit for measuring electricity that is equal to one million watts of power|The current national average of homes powered by a megawatt of solar power is 160.|
Meiosis|a cellular process in which a single cell divides twice to produce four cells containing half the original amount of genetic information|During meiosis, the parent cell duplicated and recombined to produce new cell.|
Melancholy|a feeling of deep sadness|The film’s tragic ending put us all in a melancholy mood.|
Meld|to blend or merge things together|Singing in harmony, the musicians were able to meld their voices.|
Melee|a brawl, riot or fight|I hate to go shopping during the holiday season because it feels like a melee with everyone pushing and shoving in the aisles.|
Meliorate|to improve or make something better|As a counselor, it was his job to try and meliorate the relationship between the two family members.|
Meliorism|the idea that human effort is the key to making the world a better place|As a believer in meliorism, the activist felt that every small effort he made had a positive effect on the world.|
Melliferous|bearing or producing honey|Melliferous flowers were collected to make honey.|
Mellifluous|having a smooth, flowing sound|The actor has a mellifluous voice that could lull anyone into a deep sleep.|
Mellow|to become calm and easy-going due to being older or having more practice|My mother became mellow once she became a grandmother because she would never let me eat unhealthy foods that she feeds to her grandchildren.|
Melodious|having a pleasing sound|His melodious voice carried over all of the other students in the Christmas program.|
Melodramatic|overemotional|For the practical viewer, the soap opera was way too melodramatic.|
Melody|a simple tune that sounds harmoniously|When the singer sang the song, her voice belted out the beautiful lyrics against the backdrop of the melody.|
Melt|to dissolve something solid through heat|The ice at North and South Poles is beginning to melt now that the temperature of our atmosphere is starting to rise.|
Membership|an individual becomes a member of a club, group, or organization|Amanda was pleasantly surprised to receive a one year membership to a local fitness center for a birthday present paid for by her children.|
Memento|a keepsake; an object kept as a reminder of a place or event|The necklace I received from my late husband is a loving memento from my time spent with him.|
Memo|a written message, especially in business|The manager of the finance department sent a memo out to employees telling them when the next meeting would be held.|
Memorabilia|items treasured by people due to their past fascination in a remarkable person or occasion|Due to the baseball memorabilia scattered across the garage sale table, the patrons realized that the homeowner brought home many souvenirs from the baseball games he attended.|
Memorable|notable and unforgettable|By marrying her soulmate on her perfect day, Beverly knew this would be the most memorable event of her life.|
Memorandum|a short note about a specific situation serving as a reminder|The Human Resources Department sent out a memorandum to all of the employees with the information pertaining to the upcoming holiday party.|
Memorial|something serving as a remembrance of someone or event|There was so many people today who attended the memorial of a young girl killed by her father.|
Menace|an individual or situation that causes problems|My neighbor’s dog is a menace who seems to enjoy going potty on my porch.|
Menagerie|a diverse collection|The president expected a menagerie of questions from the group of reporters.|
Mend|to repair or fix something that is broken or damaged|There’s no way to mend my broken shoe, so I’ll just need to buy a new pair.|
Mendacious|lying; not telling the truth|Chuck is mendacious about his vegetarianism because he eats chicken.|
Mendacity|lack of honesty|Since honesty is very important to me, I was deeply offended by my ex-husband’s mendacity.|
Mendicant|an individual who begs for a living|The mendicant hoped pedestrians would drop money in his bucket.|
Menial|relating to tasks normally performed by a servant|Everyone was surprised to see the company president doing menial labor he could easily pass on to one of his employees.|
Mental|relating to the mind or to the health or state of one's mind|The teacher’s mental strength was tested when the principal was observing her.|
Mentality|a pattern of thought|The stern preacher’s mentality was that any music other than Christian music had sinful overtones.|
Mention|to make a short reference to something|I will mention to your father when he calls me from work that he needs to take you to your baseball game tonight.|
Mentor|someone who teaches or gives advice to someone less experienced|Because she was a new teacher, Betsy needed a mentor to show her how to set up her classroom.|
Mephitic|Bad-smelling; having a foul odor especially of gas or vapor|The car’s mephitic fumes choked up the passengers in a nearby sedan.|
Mercantile|concerned with the buying and selling of goods for money|I joined our family’s mercantile business, buying and selling paper goods.|
Mercantilism|an economic system in which a nation tries to become more affluent by exporting more goods than it brings into the country and by protecting its store of precious metals|One of the reasons England developed the colonies under mercantilism was to increase its trading territory.|
Mercenary|motivated by private gain, regardless of ethics or laws; greedy|Following his employer’s instructions, the mercenary killed the woman and her baby without a second thought.|
Merch|a shortened form of the word merchandise (products that people sell)|We went to the clothing store for new merch but didn’t find any eye-catching pieces.|
Merchant|one who trades in goods to earn a profit|The greedy merchant raised the price of bread and milk during the blizzard.|
Merciful|compassionate and generous|After winning the lottery, the merciful winner donated every penny of her winnings to the homeless shelter.|
Merciless|without mercy. ruthless and unforgiving|The merciless sun of the desert will quickly drain all travelers of both water and will, ensuring a painful demise if one does not enter its sands prepared.|
Merciless|cruel and without mercy or pity|The merciless dictator killed everyone that went against his regime.|
Mercurial|subject to sudden or unpredictable changes|Because Mary is taking a new medication, her moods have become quite mercurial and change with the wind.|
Mercy|tendency towards forgiveness, pity and kindness|Beth’s strict parents showed mercy after she missed her curfew because she helped a stranded female motorist by jump starting her car battery.|
Mere|in regards to an individual or thing that is viewed as unimportant or small|Although Bailey was a mere boy, he knew he would become a world leader one day.|
Merely|only, just, and nothing more|The knight wondered how he, being merely a man, could hope to defeat the dragon.|
Meretricious|tastelessly showy; attractive on the surface but having in reality no value or substance; falsely alluring|Because of Christie’s meretricious style of dressing, she has often been mistaken for a prostitute and has received a number of indecent proposals.|
Merge|to come together into one unit|When the struggling nursery was about to go bankrupt, it decided to merge with the seed store since they both were in the same business.|
Merger|the joining of two things into one|The merger of the two companies happened in February when the smaller corporation joined the larger.|
Meridian|an imaginary line that passes from the North Pole to the South Pole|The equator and the prime meridian are imaginary lines used to find longitude and latitude on a map.|
Meringue|a pie topping that is browned after being made from beaten egg whites and sugar|Edith whipped up a meringue to be added to the list of sweet and light treats.|
Merit|something that deserves to be recognized or praised|Jill earned an award of merit for never missing a day of school in twelve years.|
Meritocracy|a system in which the leaders are chose based on intellect, talent, or merit, not other factors such as race, popularity, or economic status|Mr. Young longed to live in a meritocracy where the leaders of the free world were the ones who earned their places based on their accomplishments.|
Merriment|laughter, happiness, and enjoyment|The party was filled with the wonderful sounds of merriment.|
Mesh|to connect or lock together|The band can’t seem to mesh well together and continuously play off key.|
Mesmerized|captivated by something or someone|Because Jennifer was mesmerized by the author’s writing style, she purchased all of his books.|
Mesosphere|an area between two layers in the Earth’s atmosphere where it gets colder as the elevation increases|In the mesosphere the alien spaceship recorded the increasing temperatures every few minutes in this layer as it came closer to Earth.|
