Message|usually a brief form of communication sent to someone in form of written or spoken|If I can’t answer my phone when you call, please leave me a message and I will call you back.|
Mull|to think about something deeply and for a long period of time|As she continued to mull over the long list of potential performers, the entertainment director wondered if she should just feature someone internally.|
Multicellular|being complex with many different cells|The transition to multicellular life from single celled organisms has been of interest to scientists for many years.|
Multicultural|diverse|The multicultural fair had booths from many different countries, each displaying ethnic food and wares.|
Multifarious|having great variety; numerous|Coming from a small town of only four hundred residents, Jonas was shocked by the millions of people who made up the multifarious population of the big city.|
Multifold|numerous; varied|Interest in the robotics competition was multifold, with many different groups applying for entry.|
Multilateral|including many sides or parties|The multilateral lender was developed by several different countries and provides financing for national development.|
Multilingual|using several different languages|Many West Africans are multilingual, speaking their tribe language, English, as well as Pidgin English.|
Multimedia|technology that uses a variety of different types of media (sound, audio, video, etc.) to express ideas|The multimedia presentation showed the audience images of what the Titanic looked like while playing clips of actual interviews.|
Multinational|multinational means relating to multiple nations|Britain and the United Stated states are a powerful multinational military force against terrorism.|
Multiple|many; numerous|Multiple survivor accounts were recorded after the Titanic sinking of 1912.|
Multiplicity|a large number or variety|The cruise ship had a multiplicity of staterooms, with at least 200 on each floor.|
Multiply|to increase|After water was added to the gremlins, the amount of creatures in the house continued to multiply.|
Multipurpose|serving several different functions|The multipurpose room served as both an emergency shelter and a meeting room for volunteer events.|
Multitask|to handle multiple tasks at once|Sure, I can multitask. I can eat breakfast and think about lunch at the same time.|
Multitude|a large number of persons|A multitude of people lined up to watch their favorite celebrities walk into the movie premiere.|
Multitudinous|a huge amount|Because Teresa is a very attractive woman, she receives multitudinous messages through the dating website.|
Multiverse|a hypothetical space or realm consisting of more than one universe|Steven Hawking insisted that we live in a multiverse of many different worlds.|
Mum|mute; silent|Staying mum for the time being, the man thought it best he not discuss his plans with anyone else.|
Mumble|to mutter something in a low tone so that it cannot be understood|My little brother will mumble his grievances under his breath but never tell me when I make him angry.|
Mumblecore|a genre of low-budget narrative film that focuses on the intimate lives of young adult characters using dialogue and on professional actors|The mumblecore filmmakers create low-budget films focus on the lives of young lovers.|
Mummification|the process of embalming and wrapping a dead body|Ancient Egyptians used mummification as a way to preserve the bodies of their ancestors.|
Mumps|a contagious viral disease that causes the glands in the face to swell|Because the child’s cheeks were swollen like a chipmunk, the doctor knew that she probably had a viral case of the mumps.|
Mumpsimus|a person who clings to a tradition or custom that is practiced even though it has been prove to be irrational|The mumpsimus continued to mispronounce the word ‘library’ even when he was corrected several times.|
Munch|to chew or crunch on food|Even when I’m not starving, I find myself wanting to munch on candy and other sweets.|
Mundane|Boring, dull, and uninteresting|The restaurant should spice up their menu and replace the dull and mundane dishes.|
Munge|an IT slang term meaning to convert data from one form to another|When the tech starts to munge data, he transforms and maps data from one raw data form into another format.|
Municipal|related to a town or governing body|Municipal elections are held at the city court house once every four years.|
Municipality|a town that has its own local lawmaking body|Citizens knew that living in the municipality meant they would need to vote within this jurisdiction since they acted as their own city.|
Munificent|very generous|The wealthy actor always gives the members of his staff munificent appreciation gifts.|
Munitions|weapons and ammunition used in a war|Hiding a large stash of munitions within the tank, the army proceeded up the hill.|
Murder|murder means to kill|The murder happened on 75th street, and they had to move the body to investigate it.|
Murky|dark and gloomy|The frightened little boy refused to walk with his friends through the murky forest.|
Murmured|whispered|I could not hear the words; she just murmured a lot.‎|
Muscle|muscle is a fibrous tissue that causes movement|Each muscle in the human body serves multiple purposes of movement and protection.|
Muscular|having well-developed muscles|Muscular body builders paraded the stage, showing off their brawn to the judges.|
Muse|something or someone that inspires|The model was the artist’s muse for his famous sculpture.|
Museum|a building in which artistic, historical, or scientific objects are stored and exhibited|A new exhibit at the museum displayed hundreds of remains and pictures of extinct plants and animals from around the world.|
Mushy|having a soggy and squashy consistency |After cooking the peas for too long in a crockpot, the mushy vegetable was too soft to be delicious.|
Music|a form of art that combines vocal or instrumental sounds to create a composition|Guests at the house party grooved to music booming out of the stereo system.|
Musical|melodic or tuneful|The young woman’s musical ability shined through in her singing performance.|
Musicality|musical talent|The Broadway play earned high marks for musicality since many of the songs were top hits.|
Musically|relating to music|Being musically inclined, the dwarves liked to whistle a tune while they worked in the mines.|
Musician|someone who plays a musical instrument|Each musician took the stage and began to play the instruments in unison.|
Musing|a thought or reflection|As I started to jot down a musing on my notepad, my thoughts were cut short by the ringing of the telephone.|
Musk|a substance with a strong, sweet smell that is used to make perfume and other products|Many people who wear the sweet-smelling body spray don’t realize that the musk scent comes from the anal gland of a deer.|
Musket|a heavy, muzzle-loading firearm that was used in the past wars|After loading his musket, the Civil War soldier hid in the woods and waited for the signal to fire.|
Muslim|a follower of the religion of Islam|The Muslim was a follower of Islam, one of the three major monotheistic world religions.|
Mussel|a mussel is an edible clam like animal|The expensive mussel was the top item at the seafood restaurant near the rocky docks.|
Mustache|a mustache is a strip of hair above the upper lip|My sociology professor was drinking a sports drink that put a red stain on his mustache.|
Muster|to gather collectively|Before the cruise ship departs, passengers are required to muster at a specified station for a safety briefing.|
Musty|exhibiting a stale odor|The musty odor of the wet towel made the bathroom smell unpleasant.|
Mutability|the ability to be altered|With the mutability of my work schedule, I’m not sure I’ll be able to attend the concert.|
Mutable|able to be altered |Because our emotions are mutable, they are subject to change often.|
Mutant|mutant means something that had transformed into something other than it was|The radioactive spill caused a small dog to transform into a giant three-headed mutant.|
Mutation|a significant genetic change|A new vaccination had to be created for a mutation of the antigen.|
Muted|muted means to silence something|The muted TV allowed for quiet conversation between the guests.|
Mutely|silently; without speaking|The shy wallflower stood mutely in a corner during the junior high dance.|
Mutilate|to permanently disfigure something, usually by cutting or removing parts|It is hard to believe that parents in some cultures mutilate their daughter’s genitals through religious-based surgeries.|
Mutilation|disfigurement or defacement of a person or object|Mutilation of the slave’s back and face occurred when the plantation owner ordered 40 lashes.|
Mutinous|not following orders; rebelling against authority|Can you believe the bodyguard was the head of the mutinous plot to kill the king?|
Mutiny|an organized revolt against those in power|Dissatisfied voters will mutiny against the current president by voting for whoever runs against him in the next election.|
Mutter|to speak under one's breath, usually in an angry way|As he walked away to do his chores, his mother heard him mutter under his breath.|
Mutton|the meat of a domestic sheep|While a lot of people like chicken, I personally prefer mutton, which we get from the lambs we take care of.|
Mutual|shared; common|The husband and wife came to a mutual agreement that she would drive the new car and he would drive the older one.|
Mutualism|a connection between two plants or animals where each of them profits from the connection|Since the bird would scare off the flies on the horse and the horse would protect the bird, this mutualism lasted for many years between these two animals.|
Mutuality|mutual dependence or reciprocity|The contract depends on the parties’ mutuality and if they can agree on the terms.|
Mutually|felt or done by two or more people in the same group|After years of unhappiness, the couple mutually agreed to a divorce.|
Muzzle|the projecting snout of an animal|The veterinarian wrapped a towel around the dog’s muzzle to stop it from biting.|
Myocardial|relating to the muscular tissue of the heart|Since diabetes can damage the heart, it increases the risk of a myocardial infraction.|
Myopia|a restrictive view or an absence of forethought|My husband’s myopia prevents him from being able to see value in anyone else’s opinion.|
Myopic|particularly biased in one direction|If you only question one race of people in your survey, your responses will be myopic.|
Myriad|of an indefinite large number |Kelly and Clint discuss myriad topics on their talk show.|
Myrmidon|a person who does whatever his leader says|Under the watchful eye of their superior military leader, every myrmidon followed his first request.|
Mysterious|mysterious means difficult to understand|Solving the crime was mysterious because the detectives were missing crucial evidence.|
Mystery|something secret or unexplainable;an unknown|The police are still trying to figure out the mystery of the missing girl who disappeared with her father three months ago and neither one has been found.|
Mystic|spiritualist or shaman|A mystic traveled around the village telling peoples fortunes and offering cures to curses.|
Mysticism|the idea divine truth can be found through profound meditation|The cult leader emphasized mysticism through meditation as the only means of entering heaven.|
Mystified|puzzled or confused|Scientists have been mystified for the longest time about how to prevent cancer from spreading.|
Mystique|the aura of intrigue that surrounds a person or thing|The maiden has a mystique that fascinates men of all ages.|
Myth|a widely held belief that is actually untrue|The myth that holding your laptop in your lap will make you sterile is a product of media sensationalism.|
Mythical|to be similar or like something from a myth|After reading about the mythical creature, the young child was not scared because many events in the story could not have happened.|
Mythology|a group of stories from an area or country’s people and it usually includes gods or goddesses|Students learned about the dangerous creatures while studying Greek mythology in their literature class.|
Mythomane|a person with a strong or irresistible propensity for fantasizing, lying, or exaggerating |The mythomane always thought it was easier to tell a lie than the truth.|
Nabob|a rich and influential person|When the nabob walked into the meeting, everyone stood to show respect to him.|
Nadir|point of greatest adversity or despair; all-time low; rock-bottom|Even though we thought we had reached our nadir and would fail to meet the project deadline, we were still able to complete the work on time.|
Nag|to remind or complain to someone in annoying way over trivial complaints|I have to nag at my children to clean up their rooms daily.|
Naive|having or showing a lack of experience or knowledge|The naive girl believed she could get pregnant by kissing.|
Name-calling|abusive language or insults|The toddlers kept calling each other “stupid,” so their mother put them in time out for their name-calling.|
Namely|especially or particularly|Over the last six decades, several technological innovations have changed how we communicate, namely the Internet and the smartphone.|
Namesake|an individual or thing that is named after another person or thing|My husband shares his father’s name, and as such, he is his namesake.|
Nano|a prefix added to a word to denote that is very small|The nanosensors on the machine are so small they can barely be detected.|
Naphtha|a flammable oil that is used as a solvent and as an ingredient in gasoline|Naphtha is an oily substance that is produced as part of the oil refining process.|
Narcissistic|obsessed with one’s importance and/or physical appearance.|The narcissistic teenager cannot walk more than fifty feet without checking her appearance in her pocket mirror.|
Narrate|to give a spoken or written account of events|The old storyteller in our village is a survivor of a war long past, and he often narrates the events of his final battle.|
Narration|a commentary given with a broadcast of some sort|Many movies have a piece of narration in the beginning to provide the audience with information about the setting.|
Narrative|a tale that is written or spoken|The narrative is a fairytale that tells the story of a poor orphan who becomes a princess.|
Narrow-minded|bigoted and not tolerant of other people’s viewpoints|The narrow-minded cop truly believed only Hispanics commit serious crimes.|
Narrow|a smaller than usual amount of space|The space between the cars was so narrow that she had to hold the door and squeeze through the tiny opening to avoid hitting the other car.|
Nary|not a single one|Unfortunately, nary a restaurant was open at two o’clock in the morning.|
Nascence|the initial start of something that leads to a bigger idea or action|During the nascence of portable computers, laptops that were over twenty pounds were considered lightweight and advanced technology.|
Nascent|recently formed or started|Online dating has gone from a nascent idea to an established concept that helps millions of people find love.|
Nastiness|quality of being gross, dirty, and generally unpleasant|The nastiness of the cheap hotel room was evidenced by the rat droppings, bed bugs, and filthy carpet.|
Nasty|something foul or horrid that can leave one disgusted|The medicine left a nasty taste in the toddler’s mouth, causing her to spit it out.|
Natal|associated with a birth|I consider Smithfield to be my natal home because I was born there thirty years ago.|
Nation|a group of people inhabiting a particular territory and united by common characteristics such as descent, culture, or language|The nation of Germany is unified by the language that the common populace speaks, as well as their history and culture.|
National|related or common to a whole country|The national chain has retail stores in every state in the U.S.A.|
Nationalism|such devotion to a country that other nations pale in comparison |During the war, the rising tide of nationalism resulted in people buying only American-made products.|
Nationality|the position usually citizenship of someone or something being a part of a nation|After realizing that the young woman’s nationality was Israeli since she came from Israel, he was assumed that her ethnicity was Jewish.|
Native|of or relating to the place where you were born|The Latin was not raised in his native country, which is why we believed that he did not possess their mannerisms.|
Nativism|the practice of giving preference to the native residents of an area|Nativism is observed by individuals who believe their culture is superior to other cultures.|
Nativity|birth, specifically the birth of Jesus Christ|During the nativity play, the innkeeper told Jesus’s parents that there was no room for them on the night of his birth.|
Natural|something organic derived from nature that is raw and pure, not having been treated or processed|Natural honey is one of the only raw and pure foods that never goes bad.|
Naturalist|someone who studies life and nature|While wandering in the forest, a naturalist was walking a trail to determine if there were any new birds in the area.|
Naturalization|the process by which a foreign individual is awarded citizenship|In order to become a citizen, Alberto will have to go through the process of naturalization.|
Naturally|to happen on its own, without help|Sarah didn’t have to put hot rollers in her hair in the morning because she had naturally curly hair already.|
Nature|the world of the environment of plants and animals|The refreshing nature hike was just what I needed to become energized and happy.|
Naught|nothing|Everything I wrote was for naught when my computer crashed.|
Naughty|to behave poorly|At Christmas time, Santa will ask children if they have been naughty or nice during the year.|
Nausea|queasiness which sometimes leads to throwing up|Spinning around in circles for thirty minutes made the girl have nausea in her stomach.|
Nauseating|sickening and repulsive|After eating the moldy fruit, the child had a nauseating feeling in her stomach resulting in her throwing up.|
Nauseous|a sick queasy feeling|Due to Kate’s nauseous feeling during the past few mornings, it became obvious that she was pregnant.|
Nautical|relating to or involving ships or shipping or navigation or seamen|We sailed hundreds of nautical miles with no land in sight.|
Navel|bellybutton|Drawing in her navel, the pudgy woman tried to make her stomach look thinner in the mirror.|
Navigable|controllable or maneuverable|Tests were done on the new Boeing plane to determine if it was navigable in the air at high altitudes.|
Navigate|to direct a route|Christopher Columbus would navigate his ship across the Atlantic Ocean to an unknown land.|
Navigation|the procedure that one uses to track a course|Once the plans for the navigation to get to the secret hideaway were in place, the team of detectives quickly drove to find the kidnapped child.|
Navigator|the pilot or director of a vessel in the land, water or air|When the fishing boat capsized, the navigator was blamed for steering the boat into an oncoming storm.|
Navy|a country’s armed service using ships and boats|During the war, the ships from the country’s navy were sent out to defend against the attack on their land.|
Nay|not at all or nope|When Congress decided to vote, the vice president asked the congressman to say yea if they are in favor of the issue or nay if they are not.|
Nazism|the theories and processes of the Nazis|Using the ideologies of Nazism from the 1930s, the Ku Klux Klan now show their racist beliefs through their violent actions.|
Near|the small span between two objects or things |The only reason Ginger moved near the mall was so she could go shopping frequently.|
Nearby|to be close by to something|Since Walmart was nearby, we ran to the store to quickly purchase the costume for the play.|
Nearer|closer or not as far away|The fan tried to draw nearer to the musician, but the star’s security blocked the stage.|
Nearly|approximately or about|Ms. Fisher allowed her son to go play outside since he was nearly finished with his homework.|
Neat|orderly; arranged|Each neat row of corn in the farmer’s field was planted efficiently for a quick harvest.|
Neat|tidy and well-ordered|A neat stack of post it notes sat in a pile on the accountant’s desk.|
Neatly|in a tidy or organized way|Stacking the papers neatly, the assistant attempted to organize the doctor’s cluttered desk.|
Neatness|the act of being tidy and orderly|Alan suffered from Obsessive Compulsive Disorder due to his desire to have extreme neatness in the house at all times.|
Nebbish|one who is nervous and lacks confidence and courage, especially in making decisions and plans, in discussions, debates, arguments, and confrontations, and in taking responsibility|The nebbish refuses to take responsibility for his actions, always too afraid to admit that he made a mistake.|
Nebula|a space cloud consisting of gas or dust|I love to venture out into the open fields on a clear night and gawk at every galaxy and nebula that my naked eyes can detect.|
Nebulous|Unclear, vague; not clearly defined|It was not difficult to realize her answer to the question was nebulous.|
Necessarily|automatically; certainly|Putting down that you are a felon won’t necessarily stop you from getting the job, but it probably won’t help either.|
Necessary|being required or vital|For the chocolate cake, the necessary ingredients included flour, eggs, butter and cocoa.|
Necessitate|to make essential as a result of something|The heavy rain will necessitate the use of an umbrella.|
Necessities|needs or essential supplies|Even though the spoiled wife believed that a sports car and lots of money were the necessities of life, she could have lived with a regular sedan.|
Necessitous|deprived and poverty-stricken|The necessitous circumstances surrounding the flood victims became evidence when we saw all of the destruction.|
Necessity|to be essential or vital|Water is a necessity of life because failure to drink water in three days will cause death.|
Necrology|a biographical description of a person who has recently died|My grandmother’s necrology was posted online so that everyone could see what a wonderful person she was.|
Necromancy|the act of communicating with spirits of deceased individuals|When Maggie’s husband died, she visited a psychic who claimed she could use necromancy to talk to deceased persons.|
Necrosis|the complete deterioration of a bodily organ|Cancer first caused the necrosis of the liver which led to the liver failing to produce proteins used in coagulating the blood.|
Nectar|the sweet liquid produced from certain plants and flowers that bees turn into honey|Instead of acquiring the nectar from the plant, the farmers knew to wait until the bumblebees would convert it into honey.|
Nee|born with this name usually before getting married|Harriet Tubman, nee Araminta Ross, helped slaves escape to the North using the Underground Railroad.|
Needle|a long thin sharp pointy device that holds thread and is used for stitching fabric|When I tore my shirt, my friend grabbed a needle and thread in order to sew the material back together.|
Needless|not essential or wanted|Usually, the child spoke needless words simply because he was used to babbling all day about random things.|
Nefarious|very evil and wicked|How nefarious of you to fling dog crap on my car!|
Negate|to cause something to be ineffective; to nullify|Be careful when shopping because you do not want unnecessary purchases to negate the value of the coupons you are using.|
Negative|a gloomy outlook on something|Teenagers usually have negative attitudes toward adults because they think they know everything.|
Negative|focused on what is bad, harmful, or lacking|Negative effects of the medicine have stopped many patients from taking it.|
Neglect|to abandon or ignore|When you have children and work a full-time job, you may neglect your appearance because it is not important anymore.|
Negligence|neglect; inattention|The parent’s negligence resulted in their children being taken from their care and placed in a safer home.|
Negligent|careless; irresponsible|I felt negligent for leaving Jean’s toddler alone in the car.|
Negligible|too small to be of importance|Since the price difference between the generic item and the brand item is negligible, I will buy the brand product.|
Negotiable|capable of being bargained or bartered with|Even though the house was priced very low, the potential buyers still believe the price was negotiable.|
Negotiate|to try to reach an agreement or come to terms|We sat down to negotiate a deal that would satisfy everyone.|
Neigh|the sound a horse makes|Whenever anyone would get close to the fence, the horse would neigh to get the attention of its master.|
Neighbor|a person who resides nearby|While baking a cake, I needed to ask my neighbor for sugar since I had just run out.|
Neighborhood|an area where people live close together|The single woman became frightened when a prowler was spotted in her neighborhood looking in everyone’s houses.|
Nemesis|an enemy who is constantly causing problems |Kara was not happy when her nemesis won the contest.|
Neoclassical|in the manner of Ancient Greek or Romans|Neoclassical artists model their paintings off of Ancient Greek and Roman masterpieces.|
Neolithic|relating to a time known as the New Stone Age in which polished stone tools, pottery, weaving, stock rearing, and agriculture became prominent|The village dwellings are adobe style and were crafted from clay and water.|
Neolithic|the last part of the Stone Age in which agricultural and technological elements began to advance|The village is home to a Neolithic dig site where late Stone Age pieces have been discovered.|
Neologism|a new term or phrase recently added to a person or group’s vocabulary|The neologism became so popular it was added to most dictionaries.|
Neonatal|relating to a newborn baby|Positive neonatal outcomes were much more positive for babies whose mothers did not smoke during pregnancy.|
Neophyte|someone who is just learning to do something|Because I have very little computer experience, I am a neophyte when it comes to working with most software programs.|
Nepenthe|a fictional potion said to have been used by the ancient people to erase the memory of pain or sorrow|To help her chase away all of her sorrow, Polydamna gave Helen a nepenthe potion.|
Nephew|a son of one's brother or sister|My sister enjoys keeping her nephew in the afternoons and it helps me get work done as well.|
Nepotism|the act of giving opportunities to others simply because of a personal relationship |Since George is an idiot everyone knows his father hired him because of nepotism.|
Nerve|courage; steadfastness|Gathering the nerve to ask the young lady to dance, the shy wallflower ventured away from the corner and marched towards the center of the dance floor.|
Nerves|a person’s mental state or perceived source of emotional control|The anxious player’s nerves were on edge as he waited to see if he would be drafted in the first round.|
Nervous|anxious; worried|The bank teller could tell that the uneasy robber was nervous by the way his hand shook as he brandished his weapon.|
Nervously|anxiously; apprehensively|Smiling nervously, the interviewee tried not to let her anxiety show.|
Nervousness|anxiety; edginess|During dinner, the gentleman could sense his date’s nervousness as she anxiously tapped her fingers on the table.|
Nescience|unawareness or ignorance|Because of a nescience of allergic reactions, many people with allergies don’t carry the proper emergency medicines.|
Nestle|to snuggle or cuddle something|The bear cub’s mother began to nestle him closer as they drifted off to sleep.|
Net|a piece of mesh fabric used for as specific purpose (usually to catch animals or sports balls.)|Positioning the net in the water, the fisherman prepared to catch a fish with one swift swoop.|
Nether|rear; posterior|An anatomy ultrasound scan of the fetus’s nether regions showed that he is definitely all boy.|
Nettle|to cause someone to become annoyed or angry|My brother will often nettle me by reading my diary.|
Nettlesome|irritating; annoying|Asking another nettlesome question, the child irritated her mother to no end.|
Network|a system or association|Our insurance will only pay for treatment if you use a doctor that is in their network of providers.|
Neural|relating to the nervous system|Nerves in the brain of mice brains were examined to determine what kind of neural response was released after food was given.|
Neuralgia|pain in a nerve pathway|Neuralgia is a form of chronic nerve pain that is hard for doctors to understand and diagnose.|
Neurasthenic|a now obsolete psychiatric symptom that is more commonly known as chronic fatigue syndrome and is characterized by extreme mental and physical exhaustion|Early 19th century insane asylums were filled with people showing neurasthenic symptoms, simply exhausted and in need of rest.|
Neurological|related to the science of the nerves and nervous system|Neurological problems related to the brain’s nerve endings were diagnosed by the patient’s physician.|
Neurologist|a physician that deals with deals with the nervous system and the diseases that affect it|Only one neurologist was available to talk to the patient’s family after he severely injured the nerves in his hand.|
Neurology|the branch of medicine that deals with the nervous system and the diseases that affect it|The physician decided to specialize in neurology since the study of the central nervous system piqued her interest.|
Neuromuscular|relating to both the nerves and muscles|Neuromuscular damage to the spinal cord nerves and surrounding muscles left the diver unable to move.|
Neuroscience|the scientific study of the nervous system and the brain|The field of neuroscience is fairly new, with the study of the brain and the body’s still being rather contemporary.|
Neurotic|overly anxious; unstable|Sally is a neurotic person who is often moody.|
Neutral|unbiased; impartial|Being neutral in the matter, I refused to take sides with either my brother or my sister.|
Neutrality|the state or quality of being neutral; state of taking no part on either side|Neutrality was impossible when choosing to write a persuasive speech.|
Neutralize|to make unsuccessful or ineffective|A glass of milk will help neutralize the spicy contents in my stomach.|
Neutron|a particle in a nucleus, made of quarks, that lacks an electric charge and has a mass comparable to the mass of a proton|Unlike a proton which has a positive charge, a neutron doesn’t have any charge.|
Nevertheless|yet; however|A wage assignment was issued; nevertheless, a payment has not been made.|
New-hire|an employee who was recently hired for a job|The manager requested that the new-hire take a drug test before reporting to his newly assigned post.|
Newfangled|contemporary; modern|Newfangled cell phone cameras have all put replaced the handheld Polaroids of the past.|
Newness|the quality of being new or original|The shiny diamond’s newness quickly wore off, and the woman returned the impulsive purchase to the jeweler.|
Newscast|a news broadcast|Expressing their condolences beforehand, reporters on the ten o’clock newscast confirmed that remains of the missing scuba diver had been discovered.|
Newton|the Standard International unit of force|Force is a quantity that is measured by a metric unit known as a newton.|
Next|following; subsequent|The next day, the oracle’s prediction came true when a golden-haired warrior appeared to claim the throne.|
Nexus|the focal place or point|In our town, the nexus of the art world is the museum district.|
Nibble|to take small bites|As he continued to nibble on the small piece of cheese, the mouse did not see the sneaky cat coming up behind him.|
Nicely|suitably; adequately|The colors of the tenant’s new furniture blends in nicely with the apartments neutral walls.|
Nicety|accuracy or precision|The nicety of her spelling allowed her to win both the local and state spelling bees.|
Niche|a unique field or market|With so many cupcakes stores open, it is hard to find a competitive niche in that market.|
Nick|a small chip or groove|A small nick in the wood was the only flaw in the bedroom suite.|
Nickname|an alias or alternate name that someone uses instead of their real name|Because he has the same name as hid dad, Jerry goes by the nickname Junior.|
Niece|the daughter of one’s sister or brother|My brother and sister-in-law want to have a boy, but I am secretly hoping for a niece.|
Niggardly|miserly; extremely stingy|Even though the niggardly old man was worth millions, he still buried his wife in the cheapest casket available.|
Niggle|to cause minor but continuous irritation or anxiety|Something decided to niggle at me for the duration of the day, but even though it continued to bother me I couldn’t remember what it was.|
Nightmare|a very terrifying or upsetting situation|The bride’s dream wedding quickly turned into a nightmare after the groom ran away from the altar.|
Nihilism|the idea that societal rules are worthless and should be eliminated|The rebels urged the people to grab hold of nihilism and remove all government officials from office.|
Nil|nothing, zero, nonexistent|With only five of us and over a hundred of the enemy, our chances of emerging victorious in this battle are nil.|
Nimble|quick in action or comprehension|The overweight police officer could not catch the nimble suspect.|
Nimbus|a dark grey rain cloud|Looking up at the dark nimbus, Hector wondered how long it would be before it started to rain.|
Nimiety|a quantity that is in excess of what’s appropriate|A nimiety of food was spread over the tables and was way more than any one group of people could eat.|
Nincompoop|a foolish person who is considered dumb|Harold always behaves like a nincompoop, running around making faces at others trying to do their work.|
Nitpick|to correct minutiae or find fault in unimportant details|Does anyone else notice how judges will nitpick about the littlest mistakes on competition shows?|
Niveous|snowy; white like snow|After the snowstorm, the niveous landscape was as white as snow.|
Nix|to cancel, end, or reject|Over time, it became painfully clear that the smartest choice was to nix the partnership and dissolve the business.|
Nobility|the people of a society who are privileged and of high rank or title|The nobility ate with the King and Queen during the huge feast.|
