Rogue|a person without principles; a dishonest individual|Although the rogue was engaged to be married, he found it easy to flirt with other women.|
Scrimmage|a practice game which does not count on a team's record|Both football teams looked forward to their preseason scrimmage as they needed the practice badly.|
Scrooge|a gloomy grump|The young boy was being such a scrooge when he complained and made grouchy comments to his friends.|
Scrounge|to get things (usually of little value) by asking for them instead of buying them|At the garage sale, I had a customer who wanted to scrounge for free items.|
Scrub|to rub a service very hard, usually with a brush or some other object|The maid tried to scrub the dirt and grime off the floor, but couldn’t make it white again.|
Scrumptious|delicious; mouthwatering|Placing her nose up to the apple pie, the pastry chef got a whiff of the scrumptious smelling tart.|
Scruples|internal factors that prevent a person from behaving in a certain manner|Janet has no scruples about mistreating people who mistreat her.|
Scrupulous|very careful about doing something correctly|Will is a scrupulous employee who always checks his work for accuracy.|
Scrutinize|examine or inspect closely|Because of recent terror attacks, the airline screeners closely scrutinize all bags that are going on board airplanes.|
Scrutiny|careful examination of something or someone|If you want to fly on an airplane, you should be prepared to deal with scrutiny from the airline personnel.|
Scuffle|rough, disorderly fight or struggle at close quarters|In order to downplay the actual fight, the siblings told their parents the reasons for the bloody noses and torn clothing was due to a small scuffle they had a few minutes ago.|
Scullery|a small room, next to a kitchen, where washing up and other domestic chores are done|The scullery maid always washes dishes and preps for meals.|
Sculpture|a piece of art created by carving or chiseling away wood or stone|Taking great care while chiseling the block of ice, the artist believed that this would be his greatest sculpture yet.|
Scummy|dirty; nasty|Because the kitchen floor was so scummy, the maid had to scrub it with bleach for several hours.|
Scurrilous|something that is said or done to ruin a person’s reputation|Jeremy got me fired by telling my boss scurrilous lies about me.|
Scurry|to move rapidly using small steps|The mouse tried to scurry under the door.|
Scurry|to move hurriedly or quickly|The mice continued to scurry across the floor, moving quickly as not to be caught by the mouse.|
Scurvy|deficiency of vitamin C|Many sailors died of scurvy due to lack of access to nutritional food.|
Scuttle|to scamper or dash|Because I was running late, I had to scuttle through the airport parking lot.|
Scythe|a tool with a long curved blade at the end of a long pole, used for cutting grass or grain by hand|The farmer expertly guided the scythe through the wheat fields, collecting the harvest.|
Seafaring|sailing through waters on a regular basis|Seafaring merchants during the Renaissance would often travel throughout Europe and Asia to bring new inaccessible products to foreign customers.|
Seal|to fasten something shut|Once we seal the envelope closed, the letter is safe to put in the mailbox to be delivered to the recipient.|
Seam|the edge where two pieces of material are stitched together|A seam of the undershirt was quite noticeable through the thin flimsy silk blouse.|
Seamless|smooth and without interruption|His seamless execution of the challenging task surprised his coworkers and caught the attention of the higher-ups.|
Seamstress|a woman who’s profession is to sew and alter clothing|Leaving her job as a waitress, the young woman opened a tailoring shop and became a full-time seamstress.|
Sear|to char, scorch, or burn the surface of something with quick heat|The chef placed the steak in the hot pan to sear the outside.|
Search|to look for something that can’t be found at the moment|I continued to search for my lost keys, not realizing that they were in my hand the whole time.|
Season|to add flavor to something|Season the stone soup by adding herbs and other spices to the mixture.|
Seasonal|pertaining to a particular time of the year|Seasonal decorations adorned the restaurant tables at Christmas time with holly leaves and hanging greenery.|
Seasoned|to be skilled at something based on experience|Only a seasoned teacher could create an environment for learning with the wild and defiant students.|
Seat|something that one sits on|Pulling out a seat for his wife, Ben fixed the chair so that she would be comfortable.|
Secede|to withdraw from an organization, alliance, or association|Several members of the motorcycle club have made the decision to secede from the brotherhood and start a new organization.|
Seclude|to separate from people|The monks have made the decision to seclude themselves from society as a whole.|
Secondary|coming after something else that is usually more important|Instead of primary red, blue, and yellow, only secondary colors were used on the walls.|
Secondhand|describes goods that have been passed down after being owned by one other person|Tiff owns a secondhand store where people come to buy used items that are still in good condition.|
Secondment|a temporary period of time in which an employee is transferred to a new position or organization|The department head was required to find a couple of replacement workers since two permanent employees were on secondment in a different department.|
Secrecy|the act of keeping something secretly hidden|Judicial secrecy kept the final verdict under wraps until the official press conference.|
Secret|something that is not to be known or seen by others|Approaching the secret lair, the knight crept quietly as to not awaking the sleeping dragon.|
Secretary|an office assistant, usually in charge of records|Trying to impress the new secretary caused the office manager to spill coffee all over himself during the briefing.|
Secrete|to produce and give off|An octopus can secrete ink to ward off prey.|
Secretion|the process of releasing a substance (from an animal’s body)|When the woman reduced her sugar intake, her body’s insulin secretion lowered as well.|
Secretive|describes someone who hides their intentions, thoughts, and actions from other people|Secretive sorority sisters whispered in the hallway about new pledges and upcoming events.|
Sect|a small religious or political group that separates from a larger group. Sects have many of the same beliefs and practices as the original group, but often have some different doctrines|Our family are Mormons, which is a sect of Christianity.|
Sectarian|adhering strongly to a certain doctrine or sect|The sectarian preacher would not obey any laws that contrasted with his religious beliefs.|
Section|part or segment of something larger|Each section of the park has a map that shows you which segment of the square you are standing.|
Sectional|pertaining to a specific section or segment of a larger group|The U.S. Civil War was a sectional dispute, with the country being divided almost in half.|
Sectionalism|the condition of being focused on a specific section or sphere|It was Southern sectionalism that divided the nation and started the U.S. Civil War.|
Sector|a specific part of the country, economy, or a company|Our nonprofit sector is in need of a donation drive to boost funds.|
Secure|to attach something soundly|Forgetting to secure his bike with the chain, the boy was extremely disappointed to find that it was stolen overnight.|
Security|a private police force that is put in charge of guarding a person or a place|Armed security was hired to stop robbers from holding up the bank.|
Sedan|a two or four door vehicle that is made to hold at least four people|Purchasing a used four-door sedan was more reasonable than a buying a jeep since we live in a Seattle.|
Sedate|to soothe or calm|The shot should sedate the patient and allow him to sleep peacefully.|
Sedately|calmly, without excessive emotion|Because he was tired, everything he did was done sedately.|
Sedative|an agent or drug that sedates, having a calming or soothing effect, or inducing sleep|She was so upset at the loss of her husband, that the doctor gave her a sedative to calm her.|
Sedentary|staying or living in one place|Since the birth of my daughter, I have been enjoying a sedentary existence at home.|
Seder|a Jewish ritual dinner that marks the beginning of the Jewish holiday of Passover|A rabbi presided over the Seder, beginning with sanctification and a blessing being recited over wine.|
Sediment|collection of small particles|The apple cider had sediment in the bottom as part of the natural settling process.|
Sedition|the act of encouraging opposition to authority|The rebels were arrested for sedition when they protested outside of the dictator’s palace.|
Seduction|the act of enticing or attracting someone|The seduction of the now entranced audience was complete when the lead singer began her soulful crooning.|
Seductive|tempting; alluring|Seductive plates full of scrumptious shrimp and mouthwatering steak made the guests mouth water.|
Sedulous|diligent, hard working and persistent|Even though you completely destroy the ant bed time after time, those sedulous ants will continue to go right back to work rebuilding it.|
Seed|reproductive grains of a plant that are used to grow another plant|Covering the field with netting stopped the birds from eating the seed from the rows.|
Seek|to look for something|The police continue to seek the murder suspect and are setting up road blocks all over the city.|
Seemingly|apparently; appearing to be|The seemingly normal couple actually had many hidden secrets.|
Seemly|appropriate or suitable|The teacher quietly explained that throwing a temper tantrum is not seemly behavior for a fourth grade student.|
Seep|to slowly flow through a small opening|After hitting the bump in the road, oil began to seep out of my car’s radiator.|
Seer|a person who claims to be able to see the future|Being a seer, the man’s wife knew that destruction would befall their family the following week.|
Seething|intensely hot; boiling with anger.|The cook dashed some salt into the kettle of seething water.|
Segment|one part of something that is divided into sections|Smokers were the only segment of the society that were targeted by the tax increase.|
Segregation|setting apart or separation|Feminists complain about segregation between men and women in the workplace.|
Segue|to fluidly change from one form or situation to another|As the song was coming to an end, it would segue into the next tune without hesitating with silence.|
Seismic|Caused by or related to an earthquake|Seismic tests were conducted to determine the force of the earthquake.|
Seize|to gain through forcible means|If you do not watch the dog, he will try and seize the toddler’s lollipop.|
Seizure|The capturing of something by force|All of the stolen goods taken in the seizure are being stored in the police lock-up.|
Selcouth|interestingly strange or uncommon|The selcouth documentary was so unique that we couldn’t stop watching it.|
Seldom|hardly ever|Taking cocaine is seldom credited with improving a person’s intelligence.|
Select|to choose something|Taylor gets to select tonight’s movie since I chose the last one.|
Selection|a choice or range of different options|My sister and I had a hard time agreeing on a movie selection, so we ended up renting two different ones.|
Selective|intentionally choosing some things and not others|Being overly selective in love caused the prudish woman to end up an old maid.|
Self-assured|showing confidence in one’s self and your own abilities/skills|Confident and self-assured, there is nothing the man thought he couldn’t accomplish.|
Self-Concept|the image one has of him or herself|Many people have an inaccurate self-concept of themselves, thinking they are not worth as much as they really are.|
Self-conscious|uncomfortably over-conscious of oneself; worried or nervous by what other people think of you|During her speech, her body language portrayed her as self-conscious.|
Self-control|the ability to manage one’s own desires and behavior|Sheryl wanted to eat another donut but used self-control instead.|
Self-discipline|the ability to control one’s emotions and overcome one’s weaknesses|Lacking self-discipline, Kellyanne continued to overeat even though she knew she should stop.|
Self-evident|obvious and clear; not needing any explanation|The teacher’s instructions were self-evident, so no students asked any questions about the assignment.|
Self-explanatory|completely understandable; plain and clear|Once the science teacher distributed the worksheet with explicit steps and diagrams on it, the students felt comfortable with the self-explanatory lab.|
Self-preservation|a natural instinct to protect oneself from harm or death|The hero forgot about self-preservation and jumped into the fire to save the children.|
Self-righteous|believing that you are better, superior, and more moral than other people|With a self-righteous outlook, the snobby lady looked down on others from her moral high ground.|
Selfish|to think of oneself|Since he was known to be a selfish man, Darren never paid his child support even though he had plenty of money.|
Selfless|thinking only of others and not of oneself|A selfless individual often donates a fair sum of their money to charity even though they could use that money for themselves.|
Selflessness|the act of thinking of others instead of yourself|Her selflessness was displayed when Marta ran onto the tracks of an oncoming train to rescue the helpless toddler.|
Selves|essential beings or personalities of people|The two children seem to always to find their selves in trouble when they spend too much time together.|
Semantics|the message or meaning behind a term, phrase, or sentence|When you made a profanity-filled rant about me, the semantics were pretty clear.|
Semaphore|a mechanical gadget with arm, lights, or flags that is used as a signal|The railroad’s semaphore was broken, causing the car to miss the warning and come over the tracks.|
Semblance|an outward appearance of something; an assumed appearance|Once my divorce has been finalized, my life can return to a semblance of normality.|
Semi-final|a game or round just before the final match|The top two teams in each division will play off in a semi-final followed by a final to decide the winners.|
Semiannual|Happening twice a year|Semiannual fishing tournaments are held in both March and July.|
Semicircle|a half circle shape|Sitting in a semicircle of mismatched chairs, the arc of kindergarteners waited for their teacher to start the lesson.|
Semiconductor|a substance that is in between a conductor and an insulator, making it a good medium for controlling electrical current|Silicon is the best known semi-conductor and forms the basis for most integrated circuits.|
Seminal|important and highly influential on later developments|His award-winning performance was a seminal event for the college.|
Seminar|a training session usually lasting a few hours|Debbie and Lila only have enough time to attend the seminar on flipping houses instead of the detailed two-day workshop on the same topic.|
Seminary|a theological school that prepares students to become priests and pastors|The seminary’s academic courses range between traditional theology classes and practical internships.|
Semiotics|the study of signs and symbols, especially as means of language or communication|The semiotics of his body language revealed he was lying.|
Sempiternal|everlasting; having no start or no end|The girl’s parents tried to explain that images you put online are sempiternal and can last forever.|
Senate|a body of government that represents a specific area and reports to the national governing body; usually the group that writes and passes laws|The senate met to discuss implementing new laws against vandalism in the community.|
Senectitude|old age; the last stage of life|Although she is well into her senectitude, the eighty-year-old woman tries to combat her age with exercise.|
Senescence|old age|My grandfather said the best part of senescence is watching his grandchildren play.|
Senescent|growing old, aging|Our senescent dog is almost fifteen years old and is starting to suffer in his old age.|
Senile|confused or memory loss as a result of old age|I think my Grandma is going senile because she keeps forgetting her daughter's name.|
Senility|the physical and mental decline connected to old age|Dementia, also known as senility, is seen in elderly individuals whose mental states have started to decline.|
Seniority|refers to having a high ranking in an organization due to having been there for a longer period of time than others|Employees with seniority were given project preference over those who were new to the company.|
Sensation|a feeling picked up by one of the five senses|The burning sensation in the man’s eye only seemed to intensify as he flushed it with water.|
Sensational|astonishing and unbelievable|After working on the woman’s hair for over eight hours, her sensational hairstyle was admired and jealous by many women who saw it.|
Sensationalism|the presentation of stories by a journalist in a way that excites people emotionally, often at the expense of the truth or honesty|Feeding off the celebrity’s latest scandal, the article was full of sensationalism and exaggerations.|
Sense|the bodies ability to experience sight, sound, touch, taste, or smell|When Beethoven started composing music his sense of hearing was poor and got worse until he was completely deaf.|
Sense|to feel or know something|Although she couldn’t see the man hiding in the shadows, June could sense that someone was there.|
Sense|to detect or recognize|After entering the spooky house, the medium could sense several spirits moving about the room.|
Senseless|pointless; done for no clear reason|The family is devastated by the senseless murder of their young son who was at the wrong place at the wrong time.|
Sensibility|one’s ability to feel or be aware of something|President Lincoln’s sensibility about the situation helped him make right decisions regarding the abolition of slavery.|
Sensitive|highly responsive or reactive|The sensitive child demanded much attention from her parents as she was always getting upset over small and trivial things.|
Sensitivity|the tendency to be easily upset, influenced, changed, or damaged by outside factors|Because of her sensitivity to sunlight, the woman has to protect her fragile skin.|
Sensory|associated with the senses|The music at the concert was so loud it felt like a sensory attack.|
Sensual|inducing pleasurable or erotic sensations|The sensual couple’s massage was part of the honeymoon plans.|
Sensuous|associated with the senses|The hypnotist’s sensuous voice was very relaxing.|
Sententious|using few words, often in a preachy manner|Because the minister was in a hurry to get home to watch the football game, he gave a sententious sermon about the importance of valuing time.|
Sentience|awareness and the capacity to sense and feel, particularly pleasure and pain|His sentience failing him in the dark, the man was no longer able to see the corridor or decide which way to turn.|
Sentient|being able to feel or sense things|Humans are not the only sentient beings, elephants are very emotional and perceptive mammals as well.|
Sentiment|a thought, view, or attitude; an opinion|The sentiment in his love poem was so touching that it brought tears to her eyes.|
Sentry|a solider whose job is to stand watch and guard against intruders|Standing at the gate, the Iraqi sentry guarded the entrance to the embassy.|
Separate|to break something up or divide it into parts|The teacher tried to separate the fighting students but couldn’t get the two boys apart.|
Separately|occurring on an individual basis|The manager interviewed each candidate separately in an effort to determine who would be the best fit for the position.|
Separation|disconnection or detachment|Separation of Church and State allows the government to run without a connection to a particular religion.|
Separatist|of the belief in full separation of a group from a larger whole (usually based on race, religion, culture, or ethnicity.)|Separatist forces in the state worked to keep Muslims and Christians in different areas.|
Sepsis|a dangerous medical condition in which bacteria is present in the blood system|Bacteria in wounds can move into the bloodstream and lead to sepsis if not treated quickly.|
Septic|infected or contaminated with disease-causing organisms|After the wound became septic, it started oozing pus and turned green.|
Septuagenarian|a person who is in the seventy to seventy-nine age range|As she approached eighty, the septuagenarian wished that she could stay 79 forever.|
Sepulcher|a place where one is buried|When my mother dies, she will be placed in the family sepulcher alongside my father.|
Sepulchral|extremely gloomy|The siren would use her voice to lure sailors to their sepulchral deaths.|
Sequacious|tending to follow; missing original thoughts or independence|Because the girl was sequacious, she usually went along with the other students and never voiced a conflicting opinion.|
Sequel|a movie or book that continues a tale|The movie’s sequel picks up where its predecessor ended.|
Sequelae|aftereffects of a disease or injury|Fully recovered, the man had no aftereffects or sequelae six months after his surgery.|
Sequence|arrangement of events in a specific order|Switching up the sequence of the recipe steps caused the usually delicious brownies to turn out inedible.|
Sequent|consecutive or something that is next|When the old woman finished her transaction with the bank teller, the sequent person in line was waved up to the next teller.|
Sequential|going in order from first to last|Factoring in algebra is sequential and must be completed in order to get the correct answer.|
Sequester|to be put away for a specific reason|The people with the virus were told to sequester themselves at home to avoid spreading the illness.|
Seraph|the highest ranking angel in the Bible|Crying “holy, holy, holy”, the angelic seraph flew around the throne of God.|
Seraphic|angelic and stunning|When the children put on their angel costumes, they looked seraphic.|
Sere|dry and withered|The sere leaves that covered the ground were once healthy, but are now dry and brittle.|
Serendipity| the fact of finding pleasant or useful things by chance|The lottery is something one wins by serendipity not by design.|
Serene|calm; peaceful|The quiet beach made a serene setting for the midnight wedding.|
Serenity|untroubled, calm, and peaceful|For the outdoorsman, there is no way to experience serenity better than enjoying nature.|
Serf|a medieval peasant who was forced to work on a manor|The main duty of the serf was to work in the fields, but he was also required to serve at his lord’s house at least three days a week.|
Serfdom|the state of being a medieval peasant who was forced to work on a manor|Feudal serfdom was similar to later century slavery in that serfs were not allowed to leave the manor in which they lived and worked.|
Sergeant|a noncommissioned military officer ranking|Moving up in the Air Force, the sergeant was looked to for guidance and mentorship from lower ranking officers.|
Serial|describing a person who commits an act repetitively|Each of the serial killer’s latest victims were blondes who worked in the downtown district.|
Seriatim|relating to a series|A seriatim schedule is key to staying organized and completing tasks in an orderly manner.|
Series|a sequence or chain of people, things, or event|A series of tropical storms rose up in the ocean, causing destruction one after the other.|
Serious|requiring careful thought and deep consideration|I thought you were joking about how much weight you’ve lost, but now I can see that you were serious.|
Sermon|a speech or talk on a religious or moral subject|The sermon was about forgiveness.|
Serpent|a snake|The little girl screamed as the serpent slithered past her leg.|
Serpentine|marked by a twisting appearance, like the form of a serpent|The serpentine lake twists through the region providing the entire area with water.|
Serrated|having a row of sharp or tooth-like projections|A serrated knife allowed the chef to saw the bread into slices.|
Serried|rows of people or objects grouped together|Grandfather’s garden is serried in five rows, but it is too overgrown to notice.|
Servant|a person who performs working responsibilities for others|As a house servant, the slave was responsible for indoor chores rather than field duties.|
Serve|to work for or provide duties of service for someone else|At the dinner party, the maître D’ appeared to serve the guest their food.|
Service|work that is done for others as a business or an aid to others|A much-needed service in the area, the teacher decided to pet-sit during the summer.|
Serviceable|able to be serviced, examined, or repaired|Thankfully, the car’s engine is serviceable and can be repaired instead of being replaced.|
Servile|submissive; willing to serve others|Some individuals are so servile that other people take advantage of their submissiveness.|
Servility|eagerness to serve and please others|The janitor’s servility caused her to go above and beyond to make her employer happy.|
Sesquipedalian|a very long word|The word sesquipedalian defines itself by the amount of syllables it possesses.|
Sessile|an organism that is immobile and cannot move|The coma patient was sessile as she had not moved since she went into a coma a few years ago after the accident.|
Session|a period of time designated for a specific purpose|During the brief session, the committee members voted to increase funding for infrastructure.|
Setback|a reversal of progression|The principal lost his job, creating a financial setback for a few months until he found another one.|
Settee|a seat or bench with a back and armrests|You might not want to purchase a white fabric settee if you have children because the furniture would get dirty and difficult to maintain.|
Setting|the type of surroundings that something takes place in|The setting of this book is the Industrial era, as the entire story takes place in that time frame and around that area.|
Settle|to reach a decision or agreement|The sisters couldn’t settle their argument, so their mother took the bike from both of them.|
Settlement|a formal decision or agreement that settles a dispute|Unable to reach a settlement through the use of a mediator, the separated couple hired new attorneys and prepared for court.|
Settler|one who settles in a new location|The traveling gypsy decided to become a settler by purchasing a home in Colorado.|
Sever|to detach by cutting figuratively or literally|National leaders may sever ties with other countries who do not properly negotiate trade with them.|
Several|a number higher than two yet relatively low in number|During her walk, the girl was able to pick up several lemons to make a gallon of fresh lemonade.|
Severance|ending of employment|Offering of the displaced workers severance packages is the least the company could do before shutting down operations.|
Severe|very strong and intense|The severe thunderstorm caused so much damage that recovery would take years.|
Severest|the worst and harshest when compared to other severe events|Devastating hurricanes pop up all the time, but the last storm was the severest this coast has ever seen.|
Severity|the state of being strong and intense|The severity of the bomb threat resulted in two students being expelled from school and placed in a juvenile detention center.|
Sew|to create or repair by making stitches with a needle and thread|The cut on her cheek was so deep that the doctor had to sew a few stitches to mend it together.|
Sexism|gender discrimination and prejudice|Unfortunately, sexism and other forms of discrimination towards women are still very common in the twenty first century.|
Sextet|a musical piece written for six people to sing or six instruments to be played| With two altos, two sopranos and two bass, a sextet was written so everyone in the group could participate in the song.|
Sextuple|to be or have six portions or people|When the doctor scheduled the unhealthy man to a sextuple heart bypass surgery, the procedure would be dangerous since they would be fixing half a dozen arteries in the man’s chest.|
Shabbier|looking older and more worn out than something else|My dress was worn and tattered, but my sister’s gown was even shabbier than mine.|
Shabby|in poor condition because of age or wear|The college student’s apartment wasn’t what I would call chic, but it wasn’t shabby either.|
Shack|a small building that is not put together very well|The one room shack didn’t seem like much, but it was better than sleeping on the streets.|
Shackle|anything that hinders an individual from doing what he or she wants to do|The comedian referred to his wife as the shackle that prevented him from being with his dream girl.|
Shade|covering from the sun|Cala lilies love the shade and do not grow well in direct sunlight.|
Shadow|to follow someone|Since I want to become an attorney like my uncle, I sometimes shadow him at his firm.|
Shady|sly and suspicious|Every member of the secret round table meeting was either a shady mobster or a crooked politician.|
Shaft|the long handle of a weapon or tool|The shaft of the club was so rough that it rubbed a blister on the golfer’s hand.|
Shake|to tremble or quiver|The woman’s warm natured body would shake every time she felt the cool Chicago air nip and her nose.|
Shake|to tremble or vibrate|During the earthquake, the ground began to shake and gyrate violently.|
Shaken|upset and unable to remain calm|After the terrible car wreck, the shaken driver scrambled from the car trembling and in tears.|
Shakily|unsteadily; wobblingly|Taking the stage and slowly speaking into the mic, the nervous valedictorian shakily addressed his classmates.|
Shall|an alternative for the word ‘will’ that tells what someone will do|We shall go to breakfast at 8:00, if our cab arrives in time.|
Shall|will have to; must|The student shall overcome her fear of public speaking and give a speech at her graduation.|
Shallow|uninterested in things that are serious or deep; seeing only what is noticeable|A beauty pageant is a shallow contest in which people are judged mainly on their looks.|
Sham|a fake; an imitation that purports to be genuine|When we found out that the engagement was just a sham, we were very upset.|
Shaman|a tribal figure that serves as a go-between for the physical and spiritual worlds|The shaman of the tribe recommended that the girl not be buried immediately, as he wanted her spirit to have time to leave her body.|
Shambled|to move with a slow, shuffling, awkward gait|Moving at a slow and steady pace, the man shambled up the stairs to the guest bedroom.|
Shambles|a state of disorder or chaos|After the fraternity party, the house was in shambles.|
Shambolic|untidy or muddled|With so many lies and unbelievable stories during the election, many shambolic people couldn’t figure out who to vote for.|
Shame|the hot, nauseating feeling that comes with making a bad decision or of fool of yourself|The ballerina’s cheeks flushed with shame when she failed to land her jump during the dance recital.|
Shamefacedly|in a way that shows a person is awkwardly embarrassed|Once I had calmed down, I shamefacedly removed my ranting Facebook post from my timeline.|
Shameful|causing disgrace or embarrassment|Dumping 18 billion gallons of highly toxic chemicals into the Ecuadorean Amazon was one of the many shameful things that Chevron has done.|
Shameless|unacceptable; unabashed|I couldn’t stomach the author’s shameless self-promotion and quickly turned the channel.|
Shamrock|a three-leaved green plant (clover) that is used as a symbol for Ireland|If you are able to find a shamrock with four leaves instead of three, you will have the luck of the Irish.|
Shanghai|to abduct or kidnap someone|Pirates were able to shanghai several of our crewman by waiting for them just up shore from the dock.|
Shank|the leg of a person or animal|The dinner party was a success, with the biggest hit being the exotic bistro-style lamb shank that was served to the guests.|
Shanty|a shack or hut that is built shabbily|The river’s edge was covered with shanty after shanty, build by gypsies who decided to stick around for a while.|
Shard|a sharp piece of a broken material such as ceramic, glass, or metal|Grimacing as each shard of glass was pulled from his heel, the boy vowed never to walk barefooted again.|
Share|a portion or part of something larger that has been divided out amongst people|I became upset after finding out that my brother ate not only his piece of cake but also my share.|
Sharecropper|a farmer paying rent with crops to the landowner|The sharecropper was planting a field of soybeans.|
Shareholder|a person who owns a portion of a company|Each shareholder had an equal say in the company’s decision making process.|
Shark|a person who takes advantage of the misfortune of others for personal gain|The loan shark took advantage of the indebted couple and charged them an outrageous interest rate.|
Sharp-tongued|harsh or critical in speech|Curt and sharp-tongued, the director was vocally critical of all of the film’s performers.|
Sharp|having a pointed edge that cuts something easily|The sharp spindle pierced Aurora’s finger causing a drop of blood to seep out of the wound.|
Sharp|having an edge or point that can cut something|The doctor used the sharp blade of the scalpel to make a deep cut into the patient’s skin.|
Sharply|intensely; suddenly|Breathing in sharply, the man prepared to ask his girlfriend for her hand in marriage.|
Shatter|to break something into multiple pieces|The wayward baseball soared towards the window, serving to shatter it when it crashed into the glass.|
Shattered|broke into many pieces|Onlookers gasped as the urn dropped to the floor and shattered into dozens pieces.|
Shawl|a wool garment worn by women to cover their head or shoulders|Placing the shawl over her head, Little Red Riding Hood stepped out of the cottage and headed towards the woods.|
Sheaf|any collection of things bound together; a bundle|As he procrastinated, the accountant’s papers piled higher and higher in a sheaf that seemed to never end.|
Shear|to cut something, usually referring to the hair of a person or animal|One of the shepherd boy’s responsibilities was to shear the sheep when their wool was too long.|
